@relation 'opinion'
@attribute 'doc' string
@attribute '$class' {-1, 1}

@data
"whole long sheer difficult many famous naive confused Latin American Marxist good nice spiritual bad Siberian secret Vatican papal pious usual socialist economic minor relentless nuclear Western capitalist poor good old Chinese old Western logical common altruistic social entire Catholic world-wide poor Chinese nuclear minor bad unlikely plausible Greek ", -1
"real heavy English German red 2nd contrived original poor incorrect black daily stereo ", -1
"dumb splendid deputy more only profane reasonable human bad ", -1
"bad ", -1
"curious full dispassionate charismatic gargantuan political devoid emotional good second high pitched odd requisite minor second dullish hairy bearded various particular several more new digital odd odd more competent black white dull ", -1
"funny bad bad terrible beloved bad all-time such more bad ", -1
"useless bad bad boring pointless free horrible enough bad terrible cheesy heaping postmortem only ", -1
"great glad great angry different ready other other unnecessary obvious failed wrong ", -1
"sure unfinished redeeming technical amateur constant unintentional laughable embarrassing harsh awful innocent positive ", -1
"superfluous chief bad silly unnecessary ", -1
"bad low similar 1st next good poor acting 1st half decent most ", -1
"stunning fictional innocent young young new complete deep deep first great cinematic previous subtle good uncharacteristic complex good ambitious young ongoing entire worthless low own riveting innocent young tragic first horrible only final horrible own ", -1
"bad weak good flat lifeless childish funny last entire many only sorry first ", -1
"good many worthy real being first black painted fast short blond alive pregnant real pushed pure likely bare own different ", -1
"inept boring incoherent supernatural constant bad actual particular unconvincing good few good green discernible bad whole pure ", -1
"same able vintage likable aimless good animated creepy creepy other ", -1
"wrong total like more fair high arty poor acclaimed winded self indulgent little high fair bad good several significant pointless easy most great intricate deep meaningful nth many dire unique enjoyable disgruntled good ", -1
"big predictable bad good fatal ", -1
"only awful good bad old front black hypnotic worth ", -1
"good bad dreadful hot appalling last loquacious tedious childish awful great big tight appealing entire pure social mysterious Tibetan mystical main classy embarrassed sure bad nice atypical non formulaic atypical non formulaic absolute ", -1
"funny terrible old dull cliched young hard ", -1
"other next green actual responsible more atrocious funny least good funny terrible entire amateurish free winded detailed bad low common unfunny top bad ", -1
"bad funny dire appalling only true bad good sound bad hard least last least appalling professional sorry sorry ", -1
"terrible first great stupid enough first ongoing good old ridiculous least more ", -1
"excellent acting boring predictable unimaginative hard funny complete third willing sure old near good complete ", -1
"first unadulterated bad pathetic big bad non most repetitive ", -1
"similar similar first sexual finished many monotonous more such contrary many other good likable more good frustrating disappointing ", -1
"bad related unfunny silly public good funny young boring ultra cheap insane funny little ", -1
"lukewarm good high big popular funny main humorous single entire one-dimensional single sterile clumsy good good comic very thin good ", -1
"good ultra violent bad hand-held hilarious terrible hilarious little sickening many funny sickening bad ", -1
"fresh female raunchy fast orange good beautiful skimpy short pink full topless stupid ", -1
"usual dumb sad long fantastic great smart only single nagging little enough capable very plausible different cunning jolly same painful wrong blunt blatant drunk next many awesome next own professional contrived pseudo ", -1
"bad pathetic special horrible pretty much ", -1
"few decent bad prime bad good top odd dodgy randy bad ", -1
"bad many talented awful ", -1
"terrible other terrible enough first terrible third different bad basic horrible horrible ", -1
"individual dreary boring ", -1
"such fantastic special possible new outlandish critical opposite titanic single gorgeous wooden comical false much dire pointless tedious self absorbing pathetic glad obvious teenage heroic weedy sex-starved half lucky bad expensive much great good serious fatal half stupid sentimental good bad other ", -1
"curious notorious 20th several bad curious bad alt own celebrated dumb notorious old plastic sexual suitable good non-existent bad old old disconnected own glad least ", -1
"Italian good new powerful own unwritten hard same real back American popular American ", -1
"bad good bad professional past old other feisty cheesy whole meaningless thin bad Martial formulaic due only unscathed terrible excellent other other unnatural unbelievable special blue poor numerous elementary unflattering good many same cheap apparent ", -1
"final second uninterrupted distinctive dead big uncompromising cinematic musical interminable single little least musical executive former such final obsessed good bad great bad bad pop fast hard off previous feminist clear much such obvious tough ruthless henpecked credible little aimless listless other entire least apparent mechanical central unbelievable fading young naive only conceivable fast exploitive sympathetic aware cold-blooded strong petty African American lame big ethnic previous Jewish unattractive ethnic legendary polished remarkable nominal raw good considerable decent pop Oscar-winning ", -1
"many disjointed illogical readable dreadful first fashionable mid such meager many forgettable ", -1
"bad weak sound horrible slow ", -1
"other scary third bad sure quiet loud many two-way remote scary big big least gratuitous blond drifty maniacal ", -1
"great ugly iconic new all-star wrong legal boozy abusive local conventional worth hammy Irish Indian same incestuous tropical long local famous future odd mute bad gigantic other watery low-lying many hapless nude gratuitous single male near venomous strong probable certain ridiculous stereotypical huge aware domestic ", -1
"confused secret same psychedelic false clear comic dimensional afraid cardinal bad non-existent pathetic bad single least ", -1
"bad bad high new horrible video bad pretty bad ", -1
"few big enough much gritty American hardbitten former depraved blah blah blah depraved much shot poor distant little main blonde big amazing bottom easy talented future stereotyped dull guilty noisy ", -1
"other interesting comic bold artistic stellar lackluster incoherent good breathless stratospheric due large slight major breathless ", -1
"weak weak weak special valuable random sad main huge bad laughable funny main only redeeming sad bad good ", -1
"crazy common thin stupid only nice bad gifted least worth only worth ", -1
"big frightening sure spooky little faraway real scary third bad mysterious first mysterious same old rich well-done talented okay good ", -1
"warm touching boring idiotic bad rude acting most token gay boring more ", -1
"pretentious beautiful ignorant artistic good few self own embarrassing artistic difficult good ", -1
"terrible marginal early original least cheesy different original major far-fetched next original few many real dull obvious exciting least total ", -1
"Spanish bad smart interesting boring interesting ", -1
"disappointing first good first small useless previous ", -1
"serious beautiful empty uninvited new more true smooth true old same worthy proverbial awful special flat okay terrible adequate video colossal ", -1
"awful bad visual random hip much good most unwatched ", -1
"beloved executive good different single bad obnoxious juvenile ", -1
